Article_ID,Location,Area,Scaffale,Colonna,Piano,Location_Qty/WMS_Total,Calculated_Quantity,Quantity_Difference,AMG_Destination
RKM13514,A-R-03-5,A,R,03,5,16/16,18,2,TOUCH CONTROLLER HB-A2C2     FXXTPB04001C                 
RKM35900,A-B-01-1,A,B,01,1,3/6,3,-3,METAL BRACKET DISPLAY for ALL IN ONE HP-A906X w/AUO DISP. 
RKM35900,A-R-03-5,A,R,03,5,3/6,3,-3,METAL BRACKET DISPLAY for ALL IN ONE HP-A906X w/AUO DISP. 
RFI13548,A-R-02-3,A,R,02,3,2/2,1,-1,XTATION NEW SOM IO BOARD PER XPOS RG9000CB5290            
0P9915IY,A-C-04-1,A,C,04,1,3/4,3,-1,BPC-1200/FANLESS IPC BOX PC   J6412/3 LAN                 
0P9915IY,A-X-01-0,A,X,01,0,1/4,3,-1,BPC-1200/FANLESS IPC BOX PC   J6412/3 LAN                 
0AC527SU,A-C-05-2,A,C,05,2,28/28,25,-3,"PALMARE RUGGED L2S PRO 5,5""  OCTA-CORE WIFI,4G/2D ANDR. 12"
0ST902SB,A-C-05-1,A,C,05,1,1/2,1,-1,STAMPANTE TER. TP-100K-BLACK W/USB+SER+ETHERNET KIOSK VER.
0ST902SB,A-X-01-0,A,X,01,0,1/2,1,-1,STAMPANTE TER. TP-100K-BLACK W/USB+SER+ETHERNET KIOSK VER.
66319010,A-A-02-3,A,A,02,3,12/2211,3100,889,VITE M4 X 8 TESTA SVASATA    PIANA IMPRONTA A CROCE ZINC  
66319010,A-A-03-3,A,A,03,3,36/2211,3100,889,VITE M4 X 8 TESTA SVASATA    PIANA IMPRONTA A CROCE ZINC  
66319010,A-A-03-4,A,A,03,4,18/2211,3100,889,VITE M4 X 8 TESTA SVASATA    PIANA IMPRONTA A CROCE ZINC  
66319010,A-A-04-2,A,A,04,2,12/2211,3100,889,VITE M4 X 8 TESTA SVASATA    PIANA IMPRONTA A CROCE ZINC  
66319010,A-A-04-3,A,A,04,3,12/2211,3100,889,VITE M4 X 8 TESTA SVASATA    PIANA IMPRONTA A CROCE ZINC  
