Article_ID,Area,Scaffale,Colonna,Piano,Quantity,Location
0P9AA1GL,A,C,06,3,99,A-C-06-3
0P9AA1GL,A,S,01,0,1,A-S-01-0
RKM13514,A,R,03,5,17,A-R-03-5
RKM35900,A,B,01,1,3,A-B-01-1
RKM35900,A,R,03,5,3,A-R-03-5
RFI13548,A,R,02,3,2,A-R-02-3
0AC945FI,A,B,07,3,4,A-B-07-3
0AC945FI,A,C,03,3,43,A-C-03-3
0P9915IY,A,C,04,1,3,A-C-04-1
0P9915IY,A,X,01,0,1,A-X-01-0
0AC527SU,A,C,05,2,32,A-C-05-2
51702274,A,B,07,1,5,A-B-07-1
0AC40150,A,C,01,2,11,A-C-01-2
0AC40150,A,X,01,0,5,A-X-01-0
0P9910IY,A,C,07,4,24,A-C-07-4
0P9910IY,A,D,01,2,1,A-D-01-2
66319010,A,A,02,3,12,A-A-02-3
66319010,A,A,03,3,36,A-A-03-3
66319010,A,A,03,4,18,A-A-03-4
66319010,A,A,04,2,12,A-A-04-2
66319010,A,A,04,3,12,A-A-04-3
66319010,A,A,06,3,12,A-A-06-3
66319010,A,A,08,3,12,A-A-08-3
66319010,A,A,08,4,18,A-A-08-4
66319010,A,E,03,1,2000,A-E-03-1
66319010,A,S,01,0,4,A-S-01-0
66319010,A,X,01,0,92,A-X-01-0
45503180,A,A,03,2,2,A-A-03-2
45503180,A,E,01,4,14,A-E-01-4
45503180,A,X,01,0,1,A-X-01-0
0AC102ES,A,C,01,2,1530,A-C-01-2
0PF6AAE2,A,X,01,0,1,A-X-01-0
0P9EG1FI,A,B,02,4,15,A-B-02-4
0P9EG1FI,A,B,05,4,30,A-B-05-4
0P9EG1FI,A,B,06,3,3,A-B-06-3
0P9EG1FI,A,B,06,4,8,A-B-06-4
0AC903MM,A,A,07,2,27,A-A-07-2
54643028,A,A,05,4,50,A-A-05-4
54643028,A,A,08,1,10,A-A-08-1
0AC704FI,A,B,02,1,68,A-B-02-1
51742042,A,E,04,5,46,A-E-04-5
58102168,A,E,04,3,28,A-E-04-3
91208430,A,E,03,3,11,A-E-03-3
61920000,A,E,03,1,5488,A-E-03-1
17301420,A,E,02,3,2,A-E-02-3
14887000,A,E,02,2,15,A-E-02-2
17301820,A,X,01,0,1,A-X-01-0
0AC586FI,A,D,01,2,2,A-D-01-2
0AC586FI,A,D,01,3,1,A-D-01-3
0AC586FI,A,E,03,3,21,A-E-03-3
0AC586FI,A,S,01,0,3,A-S-01-0
51702280,A,A,02,3,12,A-A-02-3
51702280,A,A,03,3,36,A-A-03-3
51702280,A,A,03,4,18,A-A-03-4
51702280,A,A,04,2,12,A-A-04-2
51702280,A,A,04,3,36,A-A-04-3
51702280,A,A,04,4,18,A-A-04-4
51702280,A,A,06,3,12,A-A-06-3
51702280,A,A,06,4,18,A-A-06-4
51702280,A,A,07,1,16,A-A-07-1
51702280,A,A,08,3,12,A-A-08-3
51702280,A,A,08,4,18,A-A-08-4
51702280,A,S,01,0,2,A-S-01-0
51702280,A,X,01,0,7,A-X-01-0
RFI15305,A,R,02,4,2,A-R-02-4
0AC581FI,A,C,02,2,1,A-C-02-2
0AC581FI,A,X,01,0,1,A-X-01-0
0P9DT1FI,A,C,03,1,1,A-C-03-1
45503142,A,A,02,2,3,A-A-02-2
