Article_ID,WMS_Quantity,Calculated_Quantity,AMG_Destination,Difference
0P9AA1GL,100,97.000,"F3APL LITE 8""/T/J3355/4G/    64GB/WIFI SSD 128GB - GL     ",-3.000
RKM13514,17,18.000,TOUCH CONTROLLER HB-A2C2     FXXTPB04001C                 ,1.000
RKM35900,6,3.000,METAL BRACKET DISPLAY for ALL IN ONE HP-A906X w/AUO DISP. ,-3.000
RFI13548,2,1.000,XTATION NEW SOM IO BOARD PER XPOS RG9000CB5290            ,-1.000
0AC945FI,47,48.000,MAGNET.CARD READER 1/2/3(MSR)XPOS/PP-97XXX GREY ASXPOS061W,1.000
0P9915IY,4,3.000,BPC-1200/FANLESS IPC BOX PC   J6412/3 LAN                 ,-1.000
0AC527SU,32,29.000,"PALMARE RUGGED L2S PRO 5,5""  OCTA-CORE WIFI,4G/2D ANDR. 12",-3.000
51702274,5,6.000,PANNELLO POST. EURO STD 2021 GDT 7X/9X  1COM-2USB - R00   ,1.000
0AC40150,16,14.000,KIT PRIMA PORTA SERIALE 1XDB9/BRACKET GDT-7XXX 9XXX       ,-2.000
0P9910IY,25,26.000,"PANEL PC 15,6"" T I5-8265U IP5156W 4GB RAM 1920*1080       ",1.000
66319010,2228,3120.000,VITE M4 X 8 TESTA SVASATA    PIANA IMPRONTA A CROCE ZINC  ,892.000
45503180,17,16.000,SSD M.2 256GB SATA IY        INDUSTRIAL PANEL PC          ,-1.000
0AC102ES,1530,1517.000,FERMA CAVO FTH-5A1-RT-M                                   ,-13.000
0PF6AAE2,1,0.000,GDT-7100N N100/8GB                                        ,-1.000
0P9EG1FI,56,54.000,"PP-9742W 21,5""/T/GALAXY GREY                              ",-2.000
0AC903MM,27,26.000,BATTERIA RICAMBIO PER TABLET AT2050                       ,-1.000
54643028,60,57.000,SAGOMATO ANELLO BASE IN FOAM PER TOTEM                    ,-3.000
0AC704FI,68,69.000,MECCANICA MONTAGGIO TP-100   PER XELF                     ,1.000
51742042,46,45.000,LASTRA POSTERIORE EMC        (ESAOTE) TANK Q670 REV.I     ,-1.000
58102168,28,29.000,STAFFA MODULO RFID PP-8632   R.00                         ,1.000
91208430,11,10.000,WIRELESS EM7565 4G LTE CAT-12NGFF 600MBPS (TABLET AT-2050),-1.000
61920000,5488,5464.000,RONDELLE PIANE 6592 4 ZN                                  ,-24.000
17301420,2,1.000,"DIMM DDR3 8GB PC3-12800 NOPARity Hmax=32mm 1,5V           ",-1.000
14887000,15,17.000,MCP CELERON G5925 3.60 GHZ   FCLGA1200 4M CACHE           ,2.000
17301820,1,12.000,SODIMM DDR4 4GB 3200MHZ 1RX8 512MX8 CL22 1.2V TRANSCEND   ,11.000
0AC586FI,27,28.000,WIFI + BLUETOOTH MODULE      XPOS/XPPC ASXPOS0290         ,1.000
51702280,217,250.000,COVER EMI WITOUCH CORE KME                                ,33.000
RFI15305,2,3.000,"TOUCH CONTROLLER USB - 21.5"" RT-722 RD9000PH17NF          ",1.000
0AC581FI,2,1.000,"2ND DISP 10,1""/T/ XM-1010W-PCT/EXTENDED STANDALONE X XPOS ",-1.000
0P9DT1FI,1,3.000,BP XC373DL J6412/130W/2ND    IO-2/GALAXY GREY             ,2.000
45503142,45,44.000,SSD M.2 128GB IY SATA 2280   3DTLC                        ,-1.000
0AC528SU,8,6.000,CRADLE PER SUPPORTO A PISTOLAPER PALMARE L2KS             ,-2.000
0PF3TY03,33,32.000,NUC RUGGED CHASSIS/MULTI HDMIINTEL CMCR1ABC               ,-1.000
0AC602MC,188,191.000,WALL MOUNTING BRACKET VESA   100/75 RAL 9005              ,3.000
51702267,462,458.000,PANNELLO POST. EURO STD      GDT 7X/9X  1COM-1USB-1LAN R01,-4.000
42001225,28,29.000,CABINET BLACK MINI-ITX BASE  GDT 7XX-9XX VESA 100 MCM     ,1.000
0AC48820,1313,1304.000,CAVO 2 X USB 2.0 L. 20 CM PERGDT-XXXX - ABK055            ,-9.000
0AC919FI,333,306.000,BASE DA TAVOLO SINGLE HINGE  PP-97XX E PP-97XXW           ,-27.000
0SW819MI,390,382.000,LICENSE WIN.10 IOT FEC 2021 LTSC VALUE EPKEA ESD          ,-8.000
0AC637LG,90,81.000,LOGITECH B100 OPTICAL MOUSE  USB WHITE                    ,-9.000
RFI36033,2,0.000,STAND BASE BASE FOR PP-9635                               ,-2.000
17301611,1,2.000,"SODIMM DDR4 8GB PC4-2400MHZ  noParity 1,2V                ",1.000
52536138,16,24.000,DISSIP.+VENTOLA LOW PROFILE  socket LGA1155/56            ,8.000
66319017,1800,1792.000,RONDELLE FE GREMBIULINA 4X16 ZN                           ,-8.000
91079165,1,6.000,SK GRAFICA PCI-E RTX A4000   SFF ADA 20 GB                ,5.000
54476110,216,215.000,SCATOLA CARTONE IMBALLO SELF CHECK-OUT                    ,-1.000
0AC722FI,1,2.000,"STAFFA MONTAGGIO VESA XELF   PP-9XXXW - 15,6""             ",1.000
56572010,73,71.000,GASKET CONDUTTIVO USB FRONT. TANK MDC                     ,-2.000
45503155,34,37.000,SSD M.2 1TB 2280 NVME        TRANSCEND                    ,3.000
91208400,2,1.000,DUAL BAND WIRELESS 7265 2X2  AC+BT M.2 INTEL              ,-1.000
91208440,3,0.000,DUAL BAND WIRELESS 8265 2X2  AC+BT M.2 INTEL              ,-3.000
66319001,2470,2454.000,VITI TESTA BOMB.CE ACC. 10.9 4X16 ZN                      ,-16.000
